Format,Signature,Encrypted,Key,In G0 For now Chunk,
wep_saxe,01 10 09 18 C1 01,FALSE,,,"Only one file in G0, already bruteforced"
wep_wsl,01 10 09 18 C1 01,FALSE,,,"Only one file in G0, already bruteforced"
wep_wsd,01 10 09 18 C1 01,FALSE,,,"Only one file in G0, already bruteforced"
bowuq,01 10 09 18 1D 02,FALSE,,,"Only one file in G0, already bruteforced"
fcp,46 43 50 00 03 00,FALSE,,,
fmtc,01 10 09 18 66 6D 74 63,FALSE,,,"Only one file in G0, already bruteforced"
fpn,66 70 6E 00,FALSE,,,"Only one file in G0, already bruteforced"
pal,50 41 4C 00,FALSE,,,"Only one file in G0, already bruteforced"
emst,01 10 09 18 0C 00,FALSE,,,"Only one file in G0, already bruteforced"
ex_rem,01 10 09 18 51 04 3E 01,FALSE,,,"Only one file in G0, already bruteforced"
ex_map,01 10 09 18 51 04,FALSE,,,
eab,01 10 09 18 69 00,FALSE,,,"Only one file in G0, already bruteforced"
eot,01 10 09 18 05 00,FALSE,,,"Only one file in G0, already bruteforced"
rfd,01 10 09 18 32 00,FALSE,,,"Only one file in G0, already bruteforced"
trdr,01 10 09 18 5F 00,FALSE,,,
stmp,01 10 09 18 0D 01,FALSE,,,
odr,01 10 09 18 11 01,FALSE,,,
lms,01 10 09 18 11 01 AC 00,FALSE,,,"Only 2file in G0, already bruteforced"
ranml,01 10 09 18 F1 08 62 00,FALSE,,,"Only one file in G0, already bruteforced"
rftop,01 10 09 18 7E 0B,FALSE,,,
rfts,01 10 09 18 7E 0B 23 00,FALSE,,,"Only one file in G0, already bruteforced"
rfur,01 10 09 18 7E 0B 75 01,FALSE,,,"Only one file in G0, already bruteforced"
slt,01 10 09 18 19 00,FALSE,,,
sls,,,,,
scp,,,,,
scl,,,,,
smp,,,,,
srl,,,,,
swpc,,,,,
swpn,,,,,
swpi,,,,,
swer,,,,,
swpp,,,,,
trsr,,,,,
gll,,,,,
gcd,,,,,
acpr,,,,,
ransz,,,,,
hpot,,,,,
rpcm,,,,,
rppt,,,,,
tg_off,,,,,
totab,,,,,
wsc,,,,,
gip,,,,,
gcod,,,,,
gcfp,,,,,
gcld,,,,,
itlist,,,,,
itlot,01 10 09 18 23 00,TRUE,D7N88VEGEnRl0HEHTO0xMQkbeMb37arJF488lREp90WYojAONkLoxfMt,,
itm,01 10 09 18 BD 00,FALSE,,,
imk,01 10 09 18 BC 00,FALSE,,,
imt,,,,,
isp,,,,,
ppm,,,,,
sgpa,01 10 09 18 BC 00,FALSE,,,
lchl,,,,,
lrr,,,,,
mkex,,FALSE,,,
mkit,01 10 09 18 DC 08,FALSE,,,
apep,,,,,
emai,,,,,
emmi,01 10 09 18 9E 13,FALSE,,,
emi,,FALSE,,,
emr,,FALSE,,,
ntmp,,,,,
nwmp,,,,,
nbsc,,,,,
nblg,,,,,
ela,,,,,
mhla,,,,,
nlal,,,,,
nmvp,,,,,
ntmpl,,,,,
nwmpl,,,,,
nwpn,,,,,
omp,,,,,
ot_fpr,,,,,
ot_lv,,,,,
oprm,,,,,
ot_tlv,,,,,
asp,,TRUE,Nb06gpPJ9WtbO6FF1ZYqm5NbLREsCzuqAY0G25ug2Ei5XkkAtVXD5Uda,,
evsc,,,,,
mske,01 10 09 18 90 01,TRUE,qm7psvaMXQoay7kARXpNPcLNWqsbqcOyI4lqHtxFh26HSuE6RHNq7J4e,,
plip,50 4C 49 00,TRUE,j1P15gEkgVa7NdFxiqwCPitykHctY2nZPjSaElvqb0eSwcLO1cOlTqqv,,
plp,50 4C 50 00,TRUE,j1P15gEkgVa7NdFxiqwCPitykHctY2nZPjSaElvqb0eSwcLO1cOlTqqv,,
plsp,40 4C 53 00,TRUE,j1P15gEkgVa7NdFxiqwCPitykHctY2nZPjSaElvqb0eSwcLO1cOlTqqv,,
plfe,01 10 09 18 B5 00,FALSE,,,
plit,01 10 09 18 B5 00,FALSE,,,
shlcp,,,,,
wwctl,,,,,
wwbk,,,,,
wwpk,,,,,
snsp,,,,,
gsl,,,,,
gui_us,,,,,
bsprt,,,,,
st_flg,,,,,
st_gft,,,,,
st_qst,,,,,
con_lis,,,,,
lstd,,,,,
ltip,,,,,
ltmap,,,,,
mtgl,,,,,
pan_tuto,,,,,
pan_tuto_cat,,,,,
phnt,,,,,
qol,,,,,
qst,,,,,
usr_dct,,,,,
std,,,,,
tlink,,,,,
tkdd,,,,,
vss,,,,,
con_set,,,,,
gmd,47 4D 44 00 02 03 01 00,FALSE,,G60,
tnew,,,,,
bgd,,,,,
bgpd,,,,,
bgsd,,,,,
bgwd,,,,,
edowo,,,,,
gup,,,,,
mppar,,,,,
gce,,,,,
srd,,,,,
srds,,,,,
trl,,,,,
uct,,,,,
wtba,,,,,
wpbp,,,,,
wtc,,,,,
wtw,,,,,
wtwp,,,,,
abpr,,,,,
fbpr,,,,,
jexr,,,,,
iev,,,,,
actp2,,,,,
dtt,01 10 09 18 44 54 54 00,FALSE,,,
dtt_acv,,,,,
dtt_agr,01 10 09 18 0A 00 00 00,FALSE,,,
dtt_aitr,,,,,
dtt_alnk,,,,,
dtt_bsc,,,,,
dtt_cmu,,,,,
dtt_cvc,,,,,
dtt_drp,,,,,
dtt_eda,01 10 09 18 34 00 00 00,TRUE,Fqkpg1xx1cMlvg3AtKOCLxFgVFBwHkCbjizBRV49hWmEe5lOAaNOTm7m,,
dtt_epg,01 10 09 18 23 00 00 00,TRUE,Fqkpg1xx1cMlvg3AtKOCLxFgVFBwHkCbjizBRV49hWmEe5lOAaNOTm7m,,
dtt_erd,,,,,
dtt_fly,,,,,
dtt_grp,,,,,
dtt_hgt,,,,,
dtt_hvc,,,,,
dtt_lfs,,,,,
dtt_ofs,,,,,
dtt_plc,,,,,
dtt_sns,,,,,
dtt_sta,,,,,
dtt_unq,,,,,
em_a_ivytrap,,,,,
em_dmg,,,,,
em_ivytrap,,,,,
em_pbc,,,,,
thklst,,,,,
uwc,,,,,
vfx_scar,,,,,
thk,54 48 4B 00 28 00 01 00 ,FALSE,,,
ctm,,,,,
fkspn,,,,,
ikctrl,,,,,
leg_mgr,,,,,
spn2,,,,,
ik,,,,,
nbik,,,,,
jor,,,,,
trd,,,,,
cmps,,,,,
jrot,,,,,
mfr,,,,,
ebr,,,,,
tik,,,,,
dsc,,,,,
enl,,,,,
rtl,,,,,
mtgd,,,,,
rlc,,,,,
wtalk,,,,,
caao,,,,,
mhuba,,,,,
arm_mgr,,,,,
fsm,,,,,
w00p,,TRUE,,,
w01p,,TRUE,,,
w02p,,TRUE,,,
w03p,,TRUE,,,
w04p,,TRUE,,,
msk,01 10 09 18 90 01,TRUE,qm7psvaMXQoay7kARXpNPcLNWqsbqcOyI4lqHtxFh26HSuE6RHNq7J4e,,
w05p,,TRUE,,,
w06p,,TRUE,,,
w07p,,TRUE,,,
w08p,,TRUE,,,
w09p,,TRUE,,,
w10p,,TRUE,,,
w11p,,TRUE,,,
w12p,,TRUE,,,
w13p,,TRUE,,,
ngw,,,,,
snl,,,,,
tk_npc,,,,,
cmp,,,,,
gen,,,,,
ot_aka,,,,,
opst,,,,,
ot_eha,,,,,
oexp,,,,,
ot_hla,,,,,
ot_hda,,,,,
oemr,,,,,
ot_sda,,,,,
ot_sla,,,,,
auto_ot,,,,,
mn_ot,,,,,
tk_ot,,,,,
odil,,,,,
stlst,,TRUE,ZduEVAgrFnd8jpnwHF2ur64BHcd37gEYDQwRbeBwMt6dGRK3tUwm2wx5,,
pgpr,,,,,
phsb,,,,,
phst,,,,,
evam,,,,,
evbd,,,,,
evhl,,,,,
mib,01 10 09 18 f9 0b,TRUE,TZNgJfzyD2WKiuV4SglmI6oN5jP2hhRJcBwzUooyfIUTM4ptDYGjuRTP,event quest in G60,
qnlt,01 10 09 18 32 00,,,,
aeq,,TRUE,b71AMFJuw63cUTlDt5ntSAtaAvwLKizNtapy4W0QAsC39QXPr6b78Asz,G60,
brem,01 10 09 18 0E 01 00 00 00 00,,,,
evdml,,,,,
fsml,,,,,
sobjl,,,,,
sobj,,,,,
zon,,,,,
drlc,,,,,
dems,,,,,
ecem,,,,,
lqem,,,,,
sptl,,,,,
qmi,,,,,
rem,01 10 09 18 40 00 00 00 00 00,,,,
supp,01 10 09 18 C8 00 00 00 00 00,,,,
usc,,,,,
wwev,,,,,
wwbtt,,,,,
wwat,,,,,
wwgp,,,,,
wwspl,,,,,
wwst,,,,,
wwsw,,,,,
wwcol,,,,,
wwpc,,,,,
wwenf,,,,,
wias,,,,,
wwdt,,,,,
wwset,,,,,
wwld,,,,,
wwtc,,,,,
wwatl,,,,,
nav,,,,,
nbnk,42 4B 48 44 ,FALSE,,,
npck,41 4B 50 4B 48,FALSE,,,
abx,,,,,
bkipr,,,,,
radc,,,,,
umbra,,,,,
wcs,,,,,
llk,,,,,
llsd,,,,,
lprbm,,,,,
navway,,,,,
way,,,,,
wwas,,,,,
wwmg,,,,,
wwsd,,,,,
sfld,,,,,
eact,,,,,
ectl,,,,,
edd,,,,,
esp,,,,,
ess,,,,,
ets,,,,,
prp,,,,,
spi,,,,,
sdf,,,,,
wind,,,,,
gui,,,,,
gsp,,,,,
guitrans,,,,,
gfd,,,,,
gst,,,,,
gii,,,,,
rms,,,,,
mp4,,,,,
uvs,,,,,
ures,,,,,
tfa,,,,,
evwp,,,,,
